symbol,open,high,low,close,volume,year,month,day
BINANCE:ADAUSDT,0.845,0.9355,0.838,0.9222,171861317.3000001,2025,1,1
BINANCE:ADAUSDT,0.9222,0.9828,0.9222,0.9612,194982188.5000001,2025,1,2
BINANCE:ADAUSDT,0.9612,1.1194,0.9569,1.0894,388427400.9000003,2025,1,3
BINANCE:ADAUSDT,1.0894,1.1144,1.0565,1.0707,168969002.59999993,2025,1,4
BINANCE:ADAUSDT,1.0707,1.115,1.0521,1.0911,171630835.30000022,2025,1,5
BINANCE:ADAUSDT,1.0911,1.1162,1.0575,1.0934,181395918.9000001,2025,1,6
BINANCE:ADAUSDT,1.0934,1.1519,0.988,0.9892,365562839.2000004,2025,1,7
BINANCE:ADAUSDT,0.9893,1.0242,0.9079,0.9468,369801375.9,2025,1,8
BINANCE:ADAUSDT,0.9467,0.9604,0.8798,0.9045,239358339.89999968,2025,1,9
BINANCE:ADAUSDT,0.9045,0.974,0.904,0.9303,208259628.29999995,2025,1,10
BINANCE:ADAUSDT,0.9303,1.0176,0.9134,0.9955,146491610.6,2025,1,11
BINANCE:ADAUSDT,0.9955,1.0369,0.9613,0.9677,196542136.0000001,2025,1,12
BINANCE:ADAUSDT,0.9676,0.9938,0.8758,0.9444,288677979.0999999,2025,1,13
BINANCE:ADAUSDT,0.9444,1.0109,0.938,0.9972,187168513.00000015,2025,1,14
BINANCE:ADAUSDT,0.9972,1.09,0.9879,1.0755,384217805.2999999,2025,1,15
BINANCE:ADAUSDT,1.0755,1.145,1.0273,1.0892,383249639.40000015,2025,1,16
BINANCE:ADAUSDT,1.0893,1.1662,1.0854,1.133,276530914.4000002,2025,1,17
BINANCE:ADAUSDT,1.1331,1.1466,1.0482,1.1045,256781980.9000001,2025,1,18
BINANCE:ADAUSDT,1.1044,1.152,0.9636,0.993,560820593.5999997,2025,1,19
BINANCE:ADAUSDT,0.993,1.1014,0.9594,1.0094,464297968.40000063,2025,1,20
BINANCE:ADAUSDT,1.0095,1.0288,0.9508,1.0058,303337850.1999999,2025,1,21
BINANCE:ADAUSDT,1.0059,1.0199,0.9759,0.9827,147886319.8000002,2025,1,22
BINANCE:ADAUSDT,0.9827,1.0118,0.9512,0.9867,192569354.5000002,2025,1,23
BINANCE:ADAUSDT,0.9867,1.01,0.9636,0.9712,124428600.60000002,2025,1,24
BINANCE:ADAUSDT,0.9712,0.9919,0.9642,0.9766,56721656.80000002,2025,1,25
BINANCE:ADAUSDT,0.9766,1.0003,0.9515,0.953,73215626.20000005,2025,1,26
BINANCE:ADAUSDT,0.953,0.9587,0.8568,0.9345,257950678.60000056,2025,1,27
BINANCE:ADAUSDT,0.9346,0.9684,0.9031,0.9169,124846320.1000014,2025,1,28
BINANCE:ADAUSDT,0.9168,0.9503,0.912,0.9216,71755174.60000086,2025,1,29
