symbol,open,high,low,close,volume,year,month,day
BINANCE:DOGEUSDT,0.316,0.32749,0.31195,0.32513,705437154.0,2025,1,1
BINANCE:DOGEUSDT,0.32513,0.345,0.3246,0.33893,1564674333.0,2025,1,2
BINANCE:DOGEUSDT,0.33894,0.38944,0.33599,0.37989,2152130037.0,2025,1,3
BINANCE:DOGEUSDT,0.37989,0.39876,0.37642,0.39483,1857777267.0,2025,1,4
BINANCE:DOGEUSDT,0.39482,0.39788,0.37516,0.3823,1058790866.0,2025,1,5
BINANCE:DOGEUSDT,0.38231,0.39555,0.376,0.38782,1121833276.0,2025,1,6
BINANCE:DOGEUSDT,0.38782,0.39831,0.34713,0.348,2539411771.0,2025,1,7
BINANCE:DOGEUSDT,0.348,0.35558,0.32444,0.3423,2126726199.0,2025,1,8
BINANCE:DOGEUSDT,0.3423,0.34686,0.3143,0.321,1860743903.0,2025,1,9
BINANCE:DOGEUSDT,0.32099,0.33983,0.32091,0.33388,1488638174.0,2025,1,10
BINANCE:DOGEUSDT,0.33388,0.34817,0.32956,0.3412,604720851.0,2025,1,11
BINANCE:DOGEUSDT,0.3412,0.34355,0.33168,0.33591,648565559.0,2025,1,12
BINANCE:DOGEUSDT,0.33591,0.34628,0.30969,0.33807,1782621475.0,2025,1,13
BINANCE:DOGEUSDT,0.33808,0.3622,0.33585,0.35591,1629282050.0,2025,1,14
BINANCE:DOGEUSDT,0.35591,0.38777,0.3483,0.38537,2004221988.0,2025,1,15
BINANCE:DOGEUSDT,0.38537,0.39021,0.36761,0.37649,1998516270.0,2025,1,16
BINANCE:DOGEUSDT,0.37649,0.42215,0.37549,0.41525,2738492069.0,2025,1,17
BINANCE:DOGEUSDT,0.41525,0.43408,0.38355,0.39641,3421181167.0,2025,1,18
BINANCE:DOGEUSDT,0.39641,0.40998,0.34684,0.3584,4848100502.0,2025,1,19
BINANCE:DOGEUSDT,0.35839,0.38663,0.34486,0.35456,4029530059.0,2025,1,20
BINANCE:DOGEUSDT,0.35456,0.40382,0.33572,0.37177,4628370840.0,2025,1,21
BINANCE:DOGEUSDT,0.37178,0.3738,0.35506,0.36291,1438098636.0,2025,1,22
BINANCE:DOGEUSDT,0.36291,0.36457,0.34143,0.35206,1395369162.0,2025,1,23
BINANCE:DOGEUSDT,0.35207,0.36471,0.34278,0.35085,914834644.0,2025,1,24
BINANCE:DOGEUSDT,0.35086,0.36165,0.34543,0.35352,696981516.0,2025,1,25
BINANCE:DOGEUSDT,0.35351,0.35743,0.335,0.33605,545398217.0,2025,1,26
BINANCE:DOGEUSDT,0.33604,0.33714,0.3051,0.33397,2486070171.0,2025,1,27
BINANCE:DOGEUSDT,0.33398,0.33914,0.315,0.31871,938936239.0,2025,1,28
BINANCE:DOGEUSDT,0.31872,0.33375,0.31822,0.32371,467277526.0,2025,1,29
