symbol,open,high,low,close,volume,year,month,day
COINBASE:SHIBUSD,3.34e-05,3.42e-05,3.33e-05,3.41e-05,1940334880188.0007,2022,1,1
COINBASE:SHIBUSD,3.42e-05,3.45e-05,3.34e-05,3.41e-05,1461761588817.0012,2022,1,2
COINBASE:SHIBUSD,3.41e-05,3.41e-05,3.19e-05,3.31e-05,2263000222328.002,2022,1,3
COINBASE:SHIBUSD,3.3e-05,3.36e-05,3.23e-05,3.25e-05,2165756581886.0007,2022,1,4
COINBASE:SHIBUSD,3.25e-05,3.3e-05,2.86e-05,3.04e-05,3277025006680.001,2022,1,5
COINBASE:SHIBUSD,3.04e-05,3.19e-05,2.91e-05,3.07e-05,4547827237344.001,2022,1,6
COINBASE:SHIBUSD,3.08e-05,3.09e-05,2.85e-05,2.91e-05,3754244288365.001,2022,1,7
COINBASE:SHIBUSD,2.9e-05,3e-05,2.64e-05,2.77e-05,3497655179303.001,2022,1,8
COINBASE:SHIBUSD,2.78e-05,2.91e-05,2.75e-05,2.83e-05,2623600311725.001,2022,1,9
COINBASE:SHIBUSD,2.82e-05,2.88e-05,2.55e-05,2.67e-05,3230232687957.001,2022,1,10
COINBASE:SHIBUSD,2.67e-05,2.83e-05,2.63e-05,2.77e-05,2416187170337.001,2022,1,11
COINBASE:SHIBUSD,2.77e-05,3.27e-05,2.75e-05,3.14e-05,5350001727187.002,2022,1,12
COINBASE:SHIBUSD,3.14e-05,3.29e-05,2.92e-05,2.96e-05,4679779438818.001,2022,1,13
COINBASE:SHIBUSD,2.97e-05,3.26e-05,2.93e-05,3.07e-05,5337807571156.001,2022,1,14
COINBASE:SHIBUSD,3.07e-05,3.16e-05,3.05e-05,3.09e-05,2171031763469.0007,2022,1,15
COINBASE:SHIBUSD,3.09e-05,3.1e-05,3.01e-05,3.05e-05,2126685878994.001,2022,1,16
COINBASE:SHIBUSD,3.06e-05,3.06e-05,2.82e-05,2.88e-05,3149594327926.001,2022,1,17
COINBASE:SHIBUSD,2.89e-05,2.96e-05,2.74e-05,2.81e-05,3349574235249.001,2022,1,18
COINBASE:SHIBUSD,2.8e-05,2.83e-05,2.71e-05,2.72e-05,3179710220802.001,2022,1,19
COINBASE:SHIBUSD,2.72e-05,2.89e-05,2.62e-05,2.64e-05,3149468493329.001,2022,1,20
COINBASE:SHIBUSD,2.64e-05,2.69e-05,2.16e-05,2.23e-05,7812747965735.001,2022,1,21
COINBASE:SHIBUSD,2.23e-05,2.26e-05,1.7e-05,2.06e-05,9873890041129.002,2022,1,22
COINBASE:SHIBUSD,2.06e-05,2.37e-05,2.04e-05,2.24e-05,12366732090762.0,2022,1,23
COINBASE:SHIBUSD,2.24e-05,2.32e-05,1.86e-05,2.12e-05,10272547784774.0,2022,1,24
COINBASE:SHIBUSD,2.12e-05,2.17e-05,2.01e-05,2.1e-05,5512320379764.001,2022,1,25
COINBASE:SHIBUSD,2.11e-05,2.36e-05,2.05e-05,2.12e-05,6269303972315.001,2022,1,26
COINBASE:SHIBUSD,2.12e-05,2.18e-05,1.99e-05,2.13e-05,5614091343155.0,2022,1,27
COINBASE:SHIBUSD,2.13e-05,2.15e-05,2.03e-05,2.13e-05,2952191788252.001,2022,1,28
COINBASE:SHIBUSD,2.13e-05,2.24e-05,2.11e-05,2.17e-05,2681207603218.001,2022,1,29
COINBASE:SHIBUSD,2.17e-05,2.23e-05,2.08e-05,2.11e-05,2324785419228.001,2022,1,30
COINBASE:SHIBUSD,2.12e-05,2.16e-05,2.01e-05,2.145e-05,3808711549302.001,2022,1,31
COINBASE:SHIBUSD,2.146e-05,2.2e-05,2.114e-05,2.169e-05,4262941399652.001,2022,2,1
COINBASE:SHIBUSD,2.169e-05,2.19e-05,2.028e-05,2.062e-05,2891940715938.001,2022,2,2
COINBASE:SHIBUSD,2.063e-05,2.085e-05,2.012e-05,2.077e-05,2304616409142.001,2022,2,3
COINBASE:SHIBUSD,2.076e-05,2.234e-05,2.052e-05,2.222e-05,2708968372316.002,2022,2,4
COINBASE:SHIBUSD,2.22e-05,2.389e-05,2.205e-05,2.25e-05,3645298680642.001,2022,2,5
COINBASE:SHIBUSD,2.25e-05,2.888e-05,2.224e-05,2.855e-05,6731041230343.002,2022,2,6
COINBASE:SHIBUSD,2.855e-05,3.548e-05,2.709e-05,3.257e-05,13953631706598.002,2022,2,7
COINBASE:SHIBUSD,3.26e-05,3.5e-05,2.941e-05,3.101e-05,9817054870739.002,2022,2,8
COINBASE:SHIBUSD,3.102e-05,3.41e-05,3.043e-05,3.298e-05,6504569417203.001,2022,2,9
COINBASE:SHIBUSD,3.296e-05,3.373e-05,3.053e-05,3.084e-05,4866961208632.001,2022,2,10
COINBASE:SHIBUSD,3.086e-05,3.24e-05,2.788e-05,2.872e-05,5421671111760.001,2022,2,11
COINBASE:SHIBUSD,2.873e-05,2.986e-05,2.746e-05,2.916e-05,3706735771792.001,2022,2,12
COINBASE:SHIBUSD,2.916e-05,3.22e-05,2.839e-05,3.015e-05,4062382882444.001,2022,2,13
COINBASE:SHIBUSD,3.015e-05,3.089e-05,2.865e-05,2.957e-05,3126295880835.0005,2022,2,14
COINBASE:SHIBUSD,2.957e-05,3.185e-05,2.955e-05,3.127e-05,3329090715286.001,2022,2,15
COINBASE:SHIBUSD,3.128e-05,3.16e-05,2.994e-05,3.094e-05,2600341505538.001,2022,2,16
COINBASE:SHIBUSD,3.093e-05,3.252e-05,2.771e-05,2.82e-05,4465982004371.001,2022,2,17
COINBASE:SHIBUSD,2.822e-05,2.996e-05,2.781e-05,2.812e-05,3573933281517.0005,2022,2,18
COINBASE:SHIBUSD,2.811e-05,2.898e-05,2.7e-05,2.75e-05,2637749190355.001,2022,2,19
COINBASE:SHIBUSD,2.75e-05,2.762e-05,2.49e-05,2.55e-05,3774952149027.001,2022,2,20
COINBASE:SHIBUSD,2.55e-05,2.759e-05,2.392e-05,2.406e-05,5538285973919.001,2022,2,21
COINBASE:SHIBUSD,2.405e-05,2.529e-05,2.31e-05,2.495e-05,4330480157533.001,2022,2,22
COINBASE:SHIBUSD,2.495e-05,2.74e-05,2.458e-05,2.487e-05,4329225798392.001,2022,2,23
COINBASE:SHIBUSD,2.487e-05,2.53e-05,2.07e-05,2.387e-05,10459771090127.0,2022,2,24
COINBASE:SHIBUSD,2.387e-05,2.51e-05,2.303e-05,2.489e-05,4934498971521.001,2022,2,25
COINBASE:SHIBUSD,2.489e-05,2.592e-05,2.42e-05,2.448e-05,3137808197900.0005,2022,2,26
COINBASE:SHIBUSD,2.446e-05,2.503e-05,2.307e-05,2.344e-05,2837920138835.0005,2022,2,27
COINBASE:SHIBUSD,2.344e-05,2.6e-05,2.282e-05,2.581e-05,3806322611978.001,2022,2,28
COINBASE:SHIBUSD,2.58e-05,2.863e-05,2.535e-05,2.714e-05,5047311916159.001,2022,3,1
COINBASE:SHIBUSD,2.712e-05,2.72e-05,2.553e-05,2.591e-05,2891859772462.0005,2022,3,2
COINBASE:SHIBUSD,2.591e-05,2.62e-05,2.448e-05,2.507e-05,2453125343382.001,2022,3,3
COINBASE:SHIBUSD,2.506e-05,2.527e-05,2.306e-05,2.359e-05,2566506100755.001,2022,3,4
COINBASE:SHIBUSD,2.359e-05,2.499e-05,2.311e-05,2.462e-05,1960437801137.001,2022,3,5
COINBASE:SHIBUSD,2.462e-05,2.479e-05,2.341e-05,2.353e-05,1432011223469.0017,2022,3,6
COINBASE:SHIBUSD,2.353e-05,2.389e-05,2.188e-05,2.279e-05,2397059395883.001,2022,3,7
COINBASE:SHIBUSD,2.279e-05,2.354e-05,2.25e-05,2.291e-05,1774725725792.001,2022,3,8
COINBASE:SHIBUSD,2.291e-05,2.461e-05,2.288e-05,2.386e-05,2156862985684.0007,2022,3,9
COINBASE:SHIBUSD,2.386e-05,2.392e-05,2.238e-05,2.262e-05,1903116845481.0007,2022,3,10
COINBASE:SHIBUSD,2.262e-05,2.313e-05,2.189e-05,2.207e-05,1789172055330.001,2022,3,11
COINBASE:SHIBUSD,2.207e-05,2.274e-05,2.202e-05,2.213e-05,993784564277.0016,2022,3,12
COINBASE:SHIBUSD,2.214e-05,2.329e-05,2.121e-05,2.15e-05,1783084084531.0017,2022,3,13
COINBASE:SHIBUSD,2.151e-05,2.245e-05,2.128e-05,2.202e-05,1936511539355.0005,2022,3,14
COINBASE:SHIBUSD,2.202e-05,2.213e-05,2.125e-05,2.162e-05,1599233455369.001,2022,3,15
COINBASE:SHIBUSD,2.163e-05,2.276e-05,2.151e-05,2.275e-05,2317350324245.001,2022,3,16
COINBASE:SHIBUSD,2.274e-05,2.283e-05,2.202e-05,2.218e-05,1928842697835.001,2022,3,17
COINBASE:SHIBUSD,2.218e-05,2.269e-05,2.166e-05,2.234e-05,3048267732827.001,2022,3,18
COINBASE:SHIBUSD,2.233e-05,2.556e-05,2.218e-05,2.413e-05,6326749778436.001,2022,3,19
COINBASE:SHIBUSD,2.414e-05,2.447e-05,2.255e-05,2.313e-05,4124892081302.001,2022,3,20
COINBASE:SHIBUSD,2.314e-05,2.349e-05,2.231e-05,2.294e-05,2076898398959.0007,2022,3,21
COINBASE:SHIBUSD,2.294e-05,2.408e-05,2.289e-05,2.346e-05,2839838823959.001,2022,3,22
COINBASE:SHIBUSD,2.346e-05,2.512e-05,2.307e-05,2.442e-05,3779928031435.001,2022,3,23
COINBASE:SHIBUSD,2.442e-05,2.534e-05,2.406e-05,2.47e-05,4303656970795.001,2022,3,24
COINBASE:SHIBUSD,2.47e-05,2.542e-05,2.355e-05,2.412e-05,3744145158390.001,2022,3,25
COINBASE:SHIBUSD,2.413e-05,2.476e-05,2.391e-05,2.444e-05,1680356565887.001,2022,3,26
COINBASE:SHIBUSD,2.443e-05,2.568e-05,2.416e-05,2.558e-05,2706328812656.001,2022,3,27
COINBASE:SHIBUSD,2.558e-05,2.963e-05,2.528e-05,2.653e-05,9906864107029.002,2022,3,28
COINBASE:SHIBUSD,2.653e-05,2.85e-05,2.634e-05,2.736e-05,6594152170884.001,2022,3,29
COINBASE:SHIBUSD,2.736e-05,2.866e-05,2.618e-05,2.746e-05,6159960659386.001,2022,3,30
COINBASE:SHIBUSD,2.746e-05,2.81e-05,2.55e-05,2.584e-05,4545114030084.001,2022,3,31
COINBASE:SHIBUSD,2.586e-05,2.651e-05,2.463e-05,2.615e-05,3208425385361.001,2022,4,1
COINBASE:SHIBUSD,2.614e-05,2.75e-05,2.571e-05,2.583e-05,3080078133029.001,2022,4,2
COINBASE:SHIBUSD,2.584e-05,2.737e-05,2.551e-05,2.684e-05,2488741195382.001,2022,4,3
COINBASE:SHIBUSD,2.683e-05,2.747e-05,2.56e-05,2.644e-05,2810973079486.0005,2022,4,4
COINBASE:SHIBUSD,2.645e-05,2.846e-05,2.623e-05,2.675e-05,4208555973265.001,2022,4,5
COINBASE:SHIBUSD,2.677e-05,2.685e-05,2.417e-05,2.435e-05,3666198169955.001,2022,4,6
COINBASE:SHIBUSD,2.436e-05,2.527e-05,2.39e-05,2.478e-05,2265081394868.0005,2022,4,7
COINBASE:SHIBUSD,2.477e-05,2.518e-05,2.35e-05,2.381e-05,1836102753696.0017,2022,4,8
COINBASE:SHIBUSD,2.382e-05,2.467e-05,2.368e-05,2.462e-05,1215723111577.0022,2022,4,9
COINBASE:SHIBUSD,2.462e-05,2.543e-05,2.437e-05,2.447e-05,1819642559486.0007,2022,4,10
COINBASE:SHIBUSD,2.446e-05,2.464e-05,2.183e-05,2.218e-05,2582216960973.001,2022,4,11
COINBASE:SHIBUSD,2.218e-05,3e-05,2.191e-05,2.692e-05,14866702425409.002,2022,4,12
COINBASE:SHIBUSD,2.693e-05,2.811e-05,2.562e-05,2.694e-05,6965127564450.001,2022,4,13
COINBASE:SHIBUSD,2.693e-05,2.743e-05,2.527e-05,2.58e-05,5217472055200.001,2022,4,14
COINBASE:SHIBUSD,2.579e-05,2.624e-05,2.544e-05,2.589e-05,1733597173258.001,2022,4,15
COINBASE:SHIBUSD,2.591e-05,2.608e-05,2.526e-05,2.559e-05,1130250659951.0022,2022,4,16
COINBASE:SHIBUSD,2.559e-05,2.606e-05,2.45e-05,2.464e-05,1266894633391.004,2022,4,17
COINBASE:SHIBUSD,2.465e-05,2.537e-05,2.363e-05,2.524e-05,2819606321773.0005,2022,4,18
COINBASE:SHIBUSD,2.524e-05,2.562e-05,2.486e-05,2.544e-05,1628544381330.0012,2022,4,19
COINBASE:SHIBUSD,2.544e-05,2.587e-05,2.459e-05,2.483e-05,1999238024705.001,2022,4,20
COINBASE:SHIBUSD,2.483e-05,2.54e-05,2.387e-05,2.43e-05,1607110665875.002,2022,4,21
COINBASE:SHIBUSD,2.429e-05,2.469e-05,2.398e-05,2.43e-05,1360512824849.0017,2022,4,22
COINBASE:SHIBUSD,2.429e-05,2.465e-05,2.378e-05,2.411e-05,1146518797307.002,2022,4,23
COINBASE:SHIBUSD,2.412e-05,2.438e-05,2.352e-05,2.396e-05,1095953631104.0022,2022,4,24
COINBASE:SHIBUSD,2.395e-05,2.537e-05,2.231e-05,2.431e-05,4163523256871.001,2022,4,25
COINBASE:SHIBUSD,2.432e-05,2.468e-05,2.256e-05,2.299e-05,3439270916949.001,2022,4,26
COINBASE:SHIBUSD,2.298e-05,2.399e-05,2.281e-05,2.344e-05,3175228989737.001,2022,4,27
COINBASE:SHIBUSD,2.343e-05,2.355e-05,2.267e-05,2.294e-05,1961713255624.0005,2022,4,28
COINBASE:SHIBUSD,2.293e-05,2.31e-05,2.16e-05,2.221e-05,3482112763705.001,2022,4,29
COINBASE:SHIBUSD,2.221e-05,2.249e-05,1.84e-05,2.018e-05,3323836169621.001,2022,4,30
COINBASE:SHIBUSD,2.018e-05,2.216e-05,1.975e-05,2.153e-05,3476189729555.0005,2022,5,1
COINBASE:SHIBUSD,2.153e-05,2.175e-05,2.015e-05,2.067e-05,2416404095322.0005,2022,5,2
COINBASE:SHIBUSD,2.067e-05,2.103e-05,1.993e-05,2.03e-05,2046168078298.0017,2022,5,3
COINBASE:SHIBUSD,2.03e-05,2.189e-05,2.025e-05,2.18e-05,2878970311074.001,2022,5,4
COINBASE:SHIBUSD,2.179e-05,2.199e-05,1.949e-05,2.026e-05,3208681249472.001,2022,5,5
COINBASE:SHIBUSD,2.027e-05,2.039e-05,1.95e-05,2e-05,2916882245568.001,2022,5,6
COINBASE:SHIBUSD,2e-05,2.005e-05,1.867e-05,1.927e-05,1965910399461.0017,2022,5,7
COINBASE:SHIBUSD,1.927e-05,1.933e-05,1.825e-05,1.842e-05,2544576179396.001,2022,5,8
COINBASE:SHIBUSD,1.841e-05,1.87e-05,1.374e-05,1.4e-05,9931985691681.002,2022,5,9
COINBASE:SHIBUSD,1.4e-05,1.799e-05,1.347e-05,1.618e-05,12905879171814.002,2022,5,10
COINBASE:SHIBUSD,1.617e-05,1.678e-05,1.1e-05,1.2e-05,12256489955685.0,2022,5,11
COINBASE:SHIBUSD,1.201e-05,1.291e-05,8.56e-06,1.083e-05,17585168889653.002,2022,5,12
COINBASE:SHIBUSD,1.083e-05,1.437e-05,1.047e-05,1.279e-05,15035580151418.002,2022,5,13
COINBASE:SHIBUSD,1.279e-05,1.37e-05,1.138e-05,1.254e-05,6378169933300.001,2022,5,14
COINBASE:SHIBUSD,1.255e-05,1.306e-05,1.19e-05,1.305e-05,3533512129541.0005,2022,5,15
COINBASE:SHIBUSD,1.305e-05,1.305e-05,1.173e-05,1.197e-05,3305862685907.001,2022,5,16
COINBASE:SHIBUSD,1.198e-05,1.277e-05,1.194e-05,1.253e-05,2829567597500.0005,2022,5,17
COINBASE:SHIBUSD,1.253e-05,1.265e-05,1.143e-05,1.15e-05,3080908190161.001,2022,5,18
COINBASE:SHIBUSD,1.149e-05,1.213e-05,1.12e-05,1.18e-05,2538683126126.001,2022,5,19
COINBASE:SHIBUSD,1.18e-05,1.202e-05,1.129e-05,1.159e-05,2246918407754.001,2022,5,20
COINBASE:SHIBUSD,1.159e-05,1.203e-05,1.132e-05,1.173e-05,1453685802801.0017,2022,5,21
COINBASE:SHIBUSD,1.174e-05,1.205e-05,1.161e-05,1.19e-05,1244531570229.0024,2022,5,22
COINBASE:SHIBUSD,1.19e-05,1.296e-05,1.148e-05,1.166e-05,3658132370546.002,2022,5,23
COINBASE:SHIBUSD,1.166e-05,1.195e-05,1.123e-05,1.173e-05,2133625402941.001,2022,5,24
COINBASE:SHIBUSD,1.173e-05,1.192e-05,1.149e-05,1.16e-05,1347276296918.0017,2022,5,25
COINBASE:SHIBUSD,1.159e-05,1.171e-05,1.027e-05,1.058e-05,3108399176133.0024,2022,5,26
COINBASE:SHIBUSD,1.058e-05,1.086e-05,1.011e-05,1.048e-05,2893964937475.001,2022,5,27
COINBASE:SHIBUSD,1.047e-05,1.087e-05,1.04e-05,1.078e-05,1238213275792.0012,2022,5,28
COINBASE:SHIBUSD,1.077e-05,1.184e-05,1.054e-05,1.148e-05,2552325226622.002,2022,5,29
COINBASE:SHIBUSD,1.149e-05,1.248e-05,1.128e-05,1.221e-05,3994594701230.001,2022,5,30
