symbol,open,high,low,close,volume,year,month,day
TRADENATION:SOLANA,109.728,116.92,106.052,106.72,9660000.0,2024,1,1
TRADENATION:SOLANA,106.72,109.887,86.141,98.536,15160000.0,2024,1,2
TRADENATION:SOLANA,98.536,108.042,96.776,104.876,8730000.0,2024,1,3
TRADENATION:SOLANA,104.876,105.301,95.605,99.93,8010000.0,2024,1,4
TRADENATION:SOLANA,89.347,99.91,85.331,97.86,12280000.0,2024,1,7
TRADENATION:SOLANA,97.899,103.898,95.484,99.37,10420000.0,2024,1,8
TRADENATION:SOLANA,99.37,105.323,92.35,102.024,10770000.0,2024,1,9
TRADENATION:SOLANA,102.05,107.04,97.78,99.862,11410000.0,2024,1,10
TRADENATION:SOLANA,99.862,100.427,87.66,92.039,7950000.0,2024,1,11
TRADENATION:SOLANA,93.9,96.87,93.166,94.398,4490000.0,2024,1,14
TRADENATION:SOLANA,94.358,98.682,94.189,97.607,4570000.0,2024,1,15
TRADENATION:SOLANA,97.598,102.691,96.884,102.07,8700000.0,2024,1,16
TRADENATION:SOLANA,102.078,103.424,91.679,94.352,7740000.0,2024,1,17
TRADENATION:SOLANA,94.354,95.309,87.055,93.655,7770000.0,2024,1,18
TRADENATION:SOLANA,91.053,91.867,82.35,83.829,8670000.0,2024,1,21
TRADENATION:SOLANA,83.841,85.924,79.009,84.303,10070000.0,2024,1,22
TRADENATION:SOLANA,84.296,89.305,83.315,88.769,7350000.0,2024,1,23
TRADENATION:SOLANA,88.771,89.585,85.173,86.88,5120000.0,2024,1,24
TRADENATION:SOLANA,86.877,93.662,86.1,92.209,6020000.0,2024,1,25
TRADENATION:SOLANA,95.982,101.88,95.103,101.613,7240000.0,2024,1,28
TRADENATION:SOLANA,101.617,106.318,101.033,101.377,8760000.0,2024,1,29
TRADENATION:SOLANA,101.373,102.581,96.09,97.043,10670000.0,2024,1,30
TRADENATION:SOLANA,97.04,98.015,93.143,97.803,8650000.0,2024,1,31
TRADENATION:SOLANA,97.803,102.495,97.452,100.542,6940000.0,2024,2,1
TRADENATION:SOLANA,95.442,98.633,94.193,95.624,4800000.0,2024,2,4
TRADENATION:SOLANA,95.626,97.858,93.314,96.85,5530000.0,2024,2,5
TRADENATION:SOLANA,96.848,101.409,94.755,101.058,5760000.0,2024,2,6
TRADENATION:SOLANA,101.059,104.912,100.562,102.76,7170000.0,2024,2,7
TRADENATION:SOLANA,102.771,108.815,102.763,106.909,8230000.0,2024,2,8
TRADENATION:SOLANA,107.445,112.211,103.525,111.803,7550000.0,2024,2,11
TRADENATION:SOLANA,111.803,114.86,108.414,112.502,7120000.0,2024,2,12
