symbol,open,high,low,close,volume,year,month,day
BINANCE:ADAUSDT,0.2458,0.25,0.2434,0.2499,49487029.49999997,2023,1,1
BINANCE:ADAUSDT,0.2499,0.2565,0.2466,0.2538,75458284.6,2023,1,2
BINANCE:ADAUSDT,0.2538,0.2555,0.2502,0.2529,71671057.09999993,2023,1,3
BINANCE:ADAUSDT,0.2529,0.2708,0.2518,0.2678,148810996.50000003,2023,1,4
BINANCE:ADAUSDT,0.2678,0.2713,0.2633,0.2692,81943632.6000001,2023,1,5
BINANCE:ADAUSDT,0.2692,0.2798,0.2671,0.2786,171198727.5999997,2023,1,6
BINANCE:ADAUSDT,0.2785,0.2806,0.2723,0.2768,72623368.19999994,2023,1,7
BINANCE:ADAUSDT,0.2768,0.299,0.2742,0.2974,196047722.80000025,2023,1,8
BINANCE:ADAUSDT,0.2975,0.346,0.2955,0.3168,405177005.9000002,2023,1,9
BINANCE:ADAUSDT,0.3168,0.3253,0.3063,0.3222,184082448.09999996,2023,1,10
BINANCE:ADAUSDT,0.3222,0.3235,0.3075,0.323,144048586.49999985,2023,1,11
BINANCE:ADAUSDT,0.323,0.3351,0.3154,0.3293,248440812.4999999,2023,1,12
BINANCE:ADAUSDT,0.3293,0.3509,0.3237,0.3456,150546494.00000012,2023,1,13
BINANCE:ADAUSDT,0.3455,0.3697,0.332,0.3525,288977177.5000004,2023,1,14
BINANCE:ADAUSDT,0.3526,0.3539,0.3385,0.3507,132983094.29999983,2023,1,15
BINANCE:ADAUSDT,0.3508,0.364,0.3376,0.3504,156864828.5000004,2023,1,16
BINANCE:ADAUSDT,0.3505,0.3576,0.343,0.3455,101591352.19999996,2023,1,17
BINANCE:ADAUSDT,0.3455,0.3555,0.3237,0.3264,170018857.1999996,2023,1,18
BINANCE:ADAUSDT,0.3264,0.343,0.3255,0.3379,80228314.69999991,2023,1,19
BINANCE:ADAUSDT,0.338,0.3657,0.3336,0.3652,130767450.6,2023,1,20
BINANCE:ADAUSDT,0.3651,0.3807,0.3569,0.3687,228951787.0000002,2023,1,21
BINANCE:ADAUSDT,0.3686,0.3872,0.3629,0.3764,205382043.99999976,2023,1,22
BINANCE:ADAUSDT,0.3764,0.3836,0.3687,0.375,168920181.80000037,2023,1,23
BINANCE:ADAUSDT,0.375,0.383,0.3552,0.3587,111749419.49999988,2023,1,24
BINANCE:ADAUSDT,0.3588,0.3797,0.3469,0.3732,125501560.19999996,2023,1,25
BINANCE:ADAUSDT,0.3733,0.3892,0.3711,0.3796,152020632.10000038,2023,1,26
BINANCE:ADAUSDT,0.3796,0.391,0.3678,0.3898,112713613.30000006,2023,1,27
BINANCE:ADAUSDT,0.3898,0.398,0.378,0.3819,119208593.1999998,2023,1,28
BINANCE:ADAUSDT,0.3818,0.3991,0.3768,0.3975,102929204.60000028,2023,1,29
BINANCE:ADAUSDT,0.3976,0.3982,0.3652,0.3725,134336664.99999988,2023,1,30
BINANCE:ADAUSDT,0.3725,0.3998,0.3681,0.3902,156301182.99999988,2023,1,31
