symbol,open,high,low,close,volume,year,month,day
TRADENATION:SOLANA,10.0,11.637,9.815,11.274,13250000.0,2023,1,1
TRADENATION:SOLANA,11.274,13.646,11.018,13.37,22970000.0,2023,1,2
TRADENATION:SOLANA,13.377,14.166,12.861,13.438,20700000.0,2023,1,3
TRADENATION:SOLANA,13.442,13.85,12.954,13.42,9580000.0,2023,1,4
TRADENATION:SOLANA,13.42,13.576,12.74,13.52,9150000.0,2023,1,5
TRADENATION:SOLANA,14.446,17.453,14.304,16.266,31730000.0,2023,1,8
TRADENATION:SOLANA,16.258,16.69,15.604,16.194,13990000.0,2023,1,9
TRADENATION:SOLANA,16.194,16.572,15.334,16.357,10450000.0,2023,1,10
TRADENATION:SOLANA,16.365,16.93,15.714,16.6,14510000.0,2023,1,11
TRADENATION:SOLANA,16.6,18.577,16.33,18.287,16310000.0,2023,1,12
TRADENATION:SOLANA,22.89,24.859,22.37,23.578,16390000.0,2023,1,15
TRADENATION:SOLANA,23.578,23.936,22.779,22.87,9210000.0,2023,1,16
TRADENATION:SOLANA,22.87,23.577,20.534,20.849,16640000.0,2023,1,17
TRADENATION:SOLANA,20.849,21.836,20.44,21.42,9270000.0,2023,1,18
TRADENATION:SOLANA,21.42,25.703,20.951,25.55,14860000.0,2023,1,19
TRADENATION:SOLANA,24.222,24.884,23.901,24.316,9470000.0,2023,1,22
TRADENATION:SOLANA,24.316,25.17,22.452,22.767,8780000.0,2023,1,23
TRADENATION:SOLANA,22.767,25.368,22.32,24.51,12130000.0,2023,1,24
TRADENATION:SOLANA,24.51,25.197,23.897,24.349,7660000.0,2023,1,25
TRADENATION:SOLANA,24.349,24.917,23.441,24.42,7300000.0,2023,1,26
TRADENATION:SOLANA,26.103,26.305,23.395,23.966,10790000.0,2023,1,29
TRADENATION:SOLANA,23.966,24.4,23.507,23.923,5770000.0,2023,1,30
TRADENATION:SOLANA,23.923,25.19,22.54,24.986,10570000.0,2023,1,31
TRADENATION:SOLANA,25.007,26.13,24.157,24.254,10400000.0,2023,2,1
TRADENATION:SOLANA,24.254,25.069,24.057,24.67,6790000.0,2023,2,2
TRADENATION:SOLANA,23.464,23.722,22.536,22.652,4680000.0,2023,2,5
TRADENATION:SOLANA,22.652,23.937,22.568,23.825,6460000.0,2023,2,6
TRADENATION:SOLANA,23.832,24.18,22.832,23.215,5160000.0,2023,2,7
TRADENATION:SOLANA,23.215,23.342,20.065,20.48,8530000.0,2023,2,8
TRADENATION:SOLANA,20.48,21.19,19.699,20.122,7250000.0,2023,2,9
TRADENATION:SOLANA,21.5,21.569,19.78,20.777,8570000.0,2023,2,12
TRADENATION:SOLANA,20.774,22.306,20.684,21.842,9760000.0,2023,2,13
TRADENATION:SOLANA,21.84,23.93,21.462,23.88,7470000.0,2023,2,14
TRADENATION:SOLANA,23.88,24.133,22.227,22.293,9340000.0,2023,2,15
TRADENATION:SOLANA,22.282,23.535,22.077,23.148,6070000.0,2023,2,16
TRADENATION:SOLANA,24.86,27.043,24.214,26.245,13670000.0,2023,2,19
TRADENATION:SOLANA,26.26,26.598,24.617,24.98,8790000.0,2023,2,20
TRADENATION:SOLANA,24.98,25.21,23.252,24.162,9480000.0,2023,2,21
TRADENATION:SOLANA,24.162,24.68,23.626,23.918,5590000.0,2023,2,22
TRADENATION:SOLANA,23.912,24.118,22.526,23.08,6200000.0,2023,2,23
TRADENATION:SOLANA,23.274,23.4,22.337,22.677,5080000.0,2023,2,26
TRADENATION:SOLANA,22.677,22.74,21.784,21.88,3450000.0,2023,2,27
TRADENATION:SOLANA,21.88,22.854,21.67,22.52,3370000.0,2023,2,28
TRADENATION:SOLANA,22.52,22.633,21.68,21.997,3170000.0,2023,3,1
TRADENATION:SOLANA,21.997,22.017,20.47,21.423,5330000.0,2023,3,2
TRADENATION:SOLANA,20.97,21.14,20.49,20.61,3700000.0,2023,3,5
TRADENATION:SOLANA,20.61,20.95,19.732,20.236,5230000.0,2023,3,6
TRADENATION:SOLANA,20.236,20.38,18.214,18.41,9320000.0,2023,3,7
TRADENATION:SOLANA,18.41,18.745,16.819,17.341,12510000.0,2023,3,8
TRADENATION:SOLANA,17.326,18.352,16.06,18.208,15880000.0,2023,3,9
TRADENATION:SOLANA,20.184,21.367,18.907,20.425,16740000.0,2023,3,12
TRADENATION:SOLANA,20.428,22.081,19.802,20.914,14880000.0,2023,3,13
TRADENATION:SOLANA,20.914,21.463,18.773,19.261,11640000.0,2023,3,14
TRADENATION:SOLANA,19.261,19.888,18.927,19.697,6620000.0,2023,3,15
TRADENATION:SOLANA,19.697,21.669,19.437,21.624,9170000.0,2023,3,16
TRADENATION:SOLANA,21.855,23.893,21.448,22.147,15170000.0,2023,3,19
TRADENATION:SOLANA,22.15,23.316,21.578,22.574,9940000.0,2023,3,20
TRADENATION:SOLANA,22.574,23.062,21.019,21.425,12390000.0,2023,3,21
TRADENATION:SOLANA,21.434,22.741,21.172,22.184,7730000.0,2023,3,22
TRADENATION:SOLANA,22.184,22.27,20.308,20.659,8000000.0,2023,3,23
TRADENATION:SOLANA,20.954,20.982,19.448,19.9,4720000.0,2023,3,26
TRADENATION:SOLANA,19.9,20.82,19.62,20.453,4680000.0,2023,3,27
TRADENATION:SOLANA,20.46,21.536,20.43,21.11,4440000.0,2023,3,28
TRADENATION:SOLANA,21.11,21.648,20.16,20.555,5960000.0,2023,3,29
TRADENATION:SOLANA,20.547,21.462,20.072,21.165,4180000.0,2023,3,30
TRADENATION:SOLANA,20.52,20.99,19.992,20.446,5700000.0,2023,4,2
TRADENATION:SOLANA,20.446,21.238,20.324,20.922,3310000.0,2023,4,3
TRADENATION:SOLANA,20.922,21.333,20.632,20.97,3580000.0,2023,4,4
TRADENATION:SOLANA,20.963,20.988,20.466,20.62,2330000.0,2023,4,5
TRADENATION:SOLANA,20.623,20.773,20.253,20.446,1760000.0,2023,4,6
TRADENATION:SOLANA,20.282,20.95,20.082,20.904,2490000.0,2023,4,9
TRADENATION:SOLANA,20.897,23.675,20.827,22.982,11980000.0,2023,4,10
TRADENATION:SOLANA,22.982,24.4,22.336,23.788,13850000.0,2023,4,11
