datetime,symbol,open,high,low,close,volume
2020-08-10 23:00:00,TRADENATION:SOLANA,3.184,3.445,2.772,3.445,0.0
2020-08-11 23:00:00,TRADENATION:SOLANA,3.445,3.88,3.183,3.728,0.0
2020-08-12 23:00:00,TRADENATION:SOLANA,3.728,4.12,3.585,3.728,0.0
2020-08-13 23:00:00,TRADENATION:SOLANA,3.728,3.729,3.377,3.377,0.0
2020-08-16 23:00:00,TRADENATION:SOLANA,3.378,3.378,3.121,3.121,0.0
2020-08-17 23:00:00,TRADENATION:SOLANA,3.121,3.585,2.9,3.378,0.0
2020-08-18 23:00:00,TRADENATION:SOLANA,3.378,3.445,2.883,2.942,0.0
2020-08-19 23:00:00,TRADENATION:SOLANA,2.942,3.377,2.939,3.184,0.0
2020-08-20 23:00:00,TRADENATION:SOLANA,3.184,3.184,2.94,2.94,0.0
2020-08-23 23:00:00,TRADENATION:SOLANA,3.312,3.585,3.246,3.31,0.0
2020-08-24 23:00:00,TRADENATION:SOLANA,3.31,3.312,3.064,3.265,0.0
2020-08-25 23:00:00,TRADENATION:SOLANA,3.265,3.784,3.199,3.563,0.0
2020-08-26 23:00:00,TRADENATION:SOLANA,3.563,3.796,3.336,3.442,0.0
2020-08-27 23:00:00,TRADENATION:SOLANA,3.442,4.234,3.442,4.008,0.0
2020-08-30 23:00:00,TRADENATION:SOLANA,4.439,4.843,4.158,4.758,0.0
2020-08-31 23:00:00,TRADENATION:SOLANA,4.758,4.934,4.327,4.327,0.0
2020-09-01 23:00:00,TRADENATION:SOLANA,4.327,4.355,3.826,4.151,0.0
2020-09-02 23:00:00,TRADENATION:SOLANA,4.151,4.312,3.526,3.526,0.0
2020-09-03 23:00:00,TRADENATION:SOLANA,3.526,3.782,3.194,3.544,0.0
2020-09-06 23:00:00,TRADENATION:SOLANA,3.068,3.15,2.417,2.921,0.0
2020-09-07 23:00:00,TRADENATION:SOLANA,2.921,2.925,2.409,2.476,0.0
2020-09-08 23:00:00,TRADENATION:SOLANA,2.476,3.674,2.391,3.614,0.0
2020-09-09 23:00:00,TRADENATION:SOLANA,3.614,3.843,3.314,3.461,0.0
2020-09-10 23:00:00,TRADENATION:SOLANA,3.461,3.487,3.053,3.428,0.0
2020-09-13 23:00:00,TRADENATION:SOLANA,3.245,3.442,3.106,3.272,0.0
2020-09-14 23:00:00,TRADENATION:SOLANA,3.272,3.303,2.922,2.926,0.0
2020-09-15 23:00:00,TRADENATION:SOLANA,2.926,2.926,2.449,2.55,0.0
2020-09-16 23:00:00,TRADENATION:SOLANA,2.55,2.925,2.459,2.894,0.0
2020-09-17 23:00:00,TRADENATION:SOLANA,2.894,3.136,2.763,3.1,0.0
2020-09-20 23:00:00,TRADENATION:SOLANA,2.877,3.001,2.49,2.776,0.0
2020-09-21 23:00:00,TRADENATION:SOLANA,2.776,2.971,2.757,2.926,0.0
2020-09-22 23:00:00,TRADENATION:SOLANA,2.926,3.036,2.786,2.842,0.0
2020-09-23 23:00:00,TRADENATION:SOLANA,2.842,3.235,2.815,3.142,0.0
2020-09-24 23:00:00,TRADENATION:SOLANA,3.142,3.237,2.916,3.194,0.0
2020-09-27 23:00:00,TRADENATION:SOLANA,3.159,3.172,2.945,2.945,0.0
2020-09-28 23:00:00,TRADENATION:SOLANA,2.945,3.006,2.906,2.952,0.0
2020-09-29 23:00:00,TRADENATION:SOLANA,2.952,2.985,2.845,2.889,0.0
2020-09-30 23:00:00,TRADENATION:SOLANA,2.889,2.976,2.688,2.859,0.0
2020-10-01 23:00:00,TRADENATION:SOLANA,2.859,2.859,2.464,2.619,0.0
2020-10-04 23:00:00,TRADENATION:SOLANA,2.517,2.667,2.475,2.659,0.0
2020-10-05 23:00:00,TRADENATION:SOLANA,2.659,2.659,2.157,2.166,0.0
2020-10-06 23:00:00,TRADENATION:SOLANA,2.166,2.329,2.108,2.292,0.0
2020-10-07 23:00:00,TRADENATION:SOLANA,2.292,2.435,2.036,2.365,0.0
2020-10-08 23:00:00,TRADENATION:SOLANA,2.365,2.602,2.321,2.546,0.0
2020-10-11 23:00:00,TRADENATION:SOLANA,2.417,2.679,2.417,2.581,0.0
2020-10-12 23:00:00,TRADENATION:SOLANA,2.581,2.581,2.354,2.404,0.0
2020-10-13 23:00:00,TRADENATION:SOLANA,2.404,2.432,2.251,2.309,0.0
2020-10-14 23:00:00,TRADENATION:SOLANA,2.309,2.333,2.226,2.275,0.0
2020-10-15 23:00:00,TRADENATION:SOLANA,2.275,2.275,2.13,2.148,0.0
2020-10-18 23:00:00,TRADENATION:SOLANA,2.203,2.203,2.056,2.057,0.0
2020-10-19 23:00:00,TRADENATION:SOLANA,2.057,2.094,1.863,1.89,0.0
2020-10-20 23:00:00,TRADENATION:SOLANA,1.89,2.03,1.863,1.891,0.0
2020-10-21 23:00:00,TRADENATION:SOLANA,1.891,2.078,1.891,1.954,0.0
2020-10-22 23:00:00,TRADENATION:SOLANA,1.954,1.982,1.863,1.956,0.0
2020-10-25 22:00:00,TRADENATION:SOLANA,1.787,1.857,1.635,1.692,0.0
2020-10-26 22:00:00,TRADENATION:SOLANA,1.692,1.739,1.623,1.712,0.0
2020-10-27 22:00:00,TRADENATION:SOLANA,1.712,1.715,1.475,1.512,0.0
2020-10-28 22:00:00,TRADENATION:SOLANA,1.512,1.565,1.426,1.427,0.0
2020-10-29 22:00:00,TRADENATION:SOLANA,1.427,1.445,1.353,1.429,0.0
2020-11-01 23:00:00,TRADENATION:SOLANA,1.604,1.632,1.475,1.481,0.0
2020-11-02 23:00:00,TRADENATION:SOLANA,1.481,1.481,1.418,1.418,0.0
2020-11-03 23:00:00,TRADENATION:SOLANA,1.418,1.418,1.298,1.397,0.0
2020-11-04 23:00:00,TRADENATION:SOLANA,1.397,1.471,1.311,1.4,0.0
2020-11-05 23:00:00,TRADENATION:SOLANA,1.4,1.921,1.4,1.911,0.0
2020-11-08 23:00:00,TRADENATION:SOLANA,2.152,2.175,1.988,2.025,0.0
2020-11-09 23:00:00,TRADENATION:SOLANA,2.025,2.306,2.019,2.261,0.0
2020-11-10 23:00:00,TRADENATION:SOLANA,2.261,2.287,2.002,2.002,0.0
2020-11-11 23:00:00,TRADENATION:SOLANA,2.002,2.049,1.842,1.895,0.0
2020-11-12 23:00:00,TRADENATION:SOLANA,1.895,2.042,1.895,2.019,0.0
2020-11-15 23:00:00,TRADENATION:SOLANA,2.033,2.345,2.008,2.255,0.0
2020-11-16 23:00:00,TRADENATION:SOLANA,2.255,2.313,2.142,2.203,0.0
2020-11-17 23:00:00,TRADENATION:SOLANA,2.203,2.204,2.031,2.124,0.0
2020-11-18 23:00:00,TRADENATION:SOLANA,2.124,2.174,2.029,2.073,0.0
2020-11-19 23:00:00,TRADENATION:SOLANA,2.073,2.221,2.061,2.104,0.0
2020-11-22 23:00:00,TRADENATION:SOLANA,2.157,2.341,2.129,2.274,0.0
2020-11-23 23:00:00,TRADENATION:SOLANA,2.274,2.437,2.172,2.276,0.0
2020-11-24 23:00:00,TRADENATION:SOLANA,2.276,2.482,2.202,2.274,0.0
2020-11-25 23:00:00,TRADENATION:SOLANA,2.274,2.29,1.747,1.901,0.0
2020-11-26 23:00:00,TRADENATION:SOLANA,1.901,1.96,1.79,1.857,0.0
